,index,Texto,Texto limpio,Categoría
661,2578,"'El Covid-19 no es ni remotamente la epidemia más grave en la historia': José N. Iturriaga
https://t.co/0aLuqY6oKE https://t.co/PtnipYWd57",trump último discurso presidencial video,Noticia
662,882,"Si pudiera regresar el tiempo, te diría todo lo que callé.",eu reporta primer caso variante coronavirus,Frase/Pensamiento
663,1061,"""Ella era un libro en blanco, él era el mejor escritor.""",pence opone destituir trump 25a enmienda carta completa,Frase/Pensamiento
664,6817,Harto de la sociedad decidió irse a vivir a la profundidad de un bosque. Tuvo que hacerse pasar por un loco obsesionado por la destrucción del mundo y el apocalipsis zombie.,harto sociedad decidió irse vivir profundidad bosque hacerse pasar loco obsesionado destrucción mundo apocalipsis zombie,Microficción
665,2170,"""No puedo prometerte que solucionaré todos tus problemas, pero si que estaré ahí para afrontarlos contigo.""",oms planea aprobar gran cantidad vacunas covid19 lanzamiento mundial,Frase/Pensamiento
666,3871,"Difunden videos de bar tras asesinato de Aristóteles Sandoval
https://t.co/PXv2JVMRmo https://t.co/UCLfX7fmAZ",impresionante queda grabado cabeza q dijeron verdad dolió,Noticia
667,6987,"Gritaba al mundo que quería alas para poder volar, vivir de sentimientos etéreos, pero por mucho que lo intentara no podía dejar de convertirlos en piedra. #mismofinal",gritaba mundo quería alas poder volar vivir sentimientos etéreos intentara podía dejar convertirlos piedra mismofinal,Microficción
668,678,"""El truco está en hablar menos y demostrar más.""",cerca mil trabajadores salud país vacunados miércoles,Frase/Pensamiento
669,1337,"Decir ""no me importa"" con un nudo en la garganta.",aristeguienvivo inicia debate cámara representantes decidir si aprueba cargo incitación insurrección quiere acusar aún presidente donald trump informa jjesusesquivel periodista washington,Frase/Pensamiento
670,7320,"Empezó la carrera un martes, pero no terminó hasta el miércoles. Las mamás son unas insensibles y no saben que no se debe interrumpir una carrera de chapas… Pero como para llevarles la contraria.",empezó carrera martes terminó miércoles mamás unas insensibles saben debe interrumpir carrera chapas llevarles contraria,Microficción
671,1218,"""La mejor manera de ser feliz con alguien es aprender a ser feliz sólo; así, la compañía es una elección, no una necesidad.""",tras positivo amlo covid19 doctora biología molecular resuelve dudas tratamiento cadena contactos video,Frase/Pensamiento
672,870,Me comprometo a cambiarte las lágrimas por sonrisas.,reporta lópezgatell descenso contagios cierre,Frase/Pensamiento
673,6432,"FUTURO. - ¿Sabías que hace un par de décadas aún te pagaban por trabajar? – Deja de decir chorradas y corre más, yo no vuelvo a la fábrica.",futuro sabías hace par décadas aún pagaban trabajar deja decir chorradas corre vuelvo fábrica,Microficción
674,5800,"Su voz, flagelada por patadas de quien solo sabe solucionar sus problemas con violencia o que se vende como matón, se convirtió al día siguiente en legión. Todos a una piden justicia y seguridad y ahora también gritan: #fueraporrosdelaunam",voz flagelada patadas solo sabe solucionar problemas violencia vende matón convirtió día siguiente legión piden justicia seguridad ahora gritan fueraporrosdelaunam,Microficción
675,2353,Presume AMLO encuesta internacional que ubica a su gobierno como el segundo mejor evaluado https://t.co/lnJ8Ctewwp https://t.co/TZRs5RXDQ0,diccionario posible renacimiento global artículo moguelviveros,Noticia
676,3661,Recuerdan y enaltecen el sueño de Martin Luther King Jr. https://t.co/6XZGNhmOJn https://t.co/jltcivfOol,olvida rápido nunca importó,Noticia
677,7117,@MarescoOkami Muchas gracias.,marescookami muchas gracias,Microficción
678,839,"Me dijeron “confía"" cuando me estaban fallando.",twitter herramientas detectar borrar redes bots utiliza carlospaezagraz,Frase/Pensamiento
679,1840,"Cuando dos personas están destinadas a estar juntas no importa dónde estén o con quién estén, tarde o temprano se encontrarán.",últimahora muere ministro defensa colombia complicaciones derivadas covid19,Frase/Pensamiento
680,7582,"La puerta caprichosa que es tu boca me confunde y me doblega. A veces lejos es cerca, otras estando tan cerca que casi somos uno, me aleja con un directo hecho palabras. Ha sido así que lo he entendido: ""qué importa ser poeta o ser basura"".
#locosinfinitos
https://t.co/eaBEZAOzup",puerta caprichosa boca confunde doblega veces lejos cerca tan cerca casi aleja directo hecho palabras sido así entendido importa ser poeta ser basura locosinfinitos,Microficción
681,2611,Incendio en la mayor fábrica de vacunas anti-Covid en el mundo no afecta producción https://t.co/Jbc8tjNTUR https://t.co/518qv8zLcv,deja eusebio sacristán unidad cuidados intensivos tuit,Noticia
682,306,"Te prometí un día que siempre iba estar ahí en las buenas y en las malas; y aunque no me hables o no te hable, esa promesa quedará guardada.",ue deja reconocer guaidó presidente interino venezuela,Frase/Pensamiento
683,4318,#Titulares🇲🇽 | EU frena 100 días las deportaciones y crecen contagios de Covid en jóvenes https://t.co/KaVNtBp54v https://t.co/Ue81ts5tXs,pidas jamás nadie quede lado si queda propia voluntad,Noticia
684,517,Difícil sí. Imposible no.,arriba peor escenario planteó gatell páez,Frase/Pensamiento
685,1641,"No le voy a hablar.
No le voy a hablar.
No le voy a hablar.
No le voy a hablar.
No le voy a hablar.
No le voy a hablar.
Hola.",así informaron periódicos mundo llegada biden presidencia eu,Frase/Pensamiento
686,3036,18% de los municipios del país concentran el 100% de los feminicidios https://t.co/sk04q5rjZd https://t.co/MmBsIfevik,nacimos cometer errores fingir ser perfectos,Noticia
687,4610,Destaca Gasman incorporación del tema de violencia de género a la estrategia de seguridad https://t.co/RPFeMVdAOC https://t.co/tdai1pwfZI,perfume trae recuerdos,Noticia
688,5193,Quedó perdidamente enamorado tras escuchar la serenata de su risa. #cuentosde10,quedó perdidamente enamorado tras escuchar serenata risa cuentosde10,Microficción
689,2626,"Sabina Berman explica polémico tuit sobre vacunación | #Video
https://t.co/fZ8mKyIKKC https://t.co/I77K2PgPTn",mamá dice tiempo confirma,Noticia
690,4277,"Condenan a 6 años de prisión a estudiante que presuntamente dañó sede principal del partido de Putin
https://t.co/a5F36oTfcO https://t.co/rvS8wpovx0",calla siempre otorga veces ganas discutir vano,Noticia
691,3456,#FelizJueves 🙂 | Impiden a AMLO hablar de elecciones; vacunas y abuso; adiós al 2020 y más. Sigue nuestro programa completo en #AristeguiEnVivo 👉 https://t.co/QLYuIynX2Y https://t.co/VNMBi5xuxv,tener ahora mismo kilómetros quisieras tener centímetros,Noticia
692,6725,"@_Obscuros @Al5ama @PanicoSiniestro @mcfhisto @alexcrazypoet @JeremyCol1 @JiTzhaaC @horcasas2 @crisst224403 @Tuitnauta @spectrocero @illarguia @Cuervo_G9 @T_contare @SuicidalAbigor @GothicEternity_ te dije que o me amabas o me odiabas... El último fue con dedicatoria, leí que eras tatuador. :)",_obscuros al5ama panicosiniestro mcfhisto alexcrazypoet jeremycol1 jitzhaac horcasas2 crisst224403 tuitnauta spectrocero illarguia cuervo_g9 t_contare suicidalabigor gothiceternity_ dije amabas odiabas último dedicatoria leí tatuador,Microficción
693,747,"""Es más fácil sonreír que explicar porque estás triste.""",pasado sale relucir hallazgos históricos suelo nacional,Frase/Pensamiento
694,962,"""Qué bueno sería poder traer de regreso a alguien del cielo y pasar un día con esa persona, solamente una vez, una última vez.""",artistas juchitecos rescatan espacio comunitario difundir arte pandemia,Frase/Pensamiento
695,1043,"""Su sonrisa es mas grande que mis problemas.""",muertes covid19 mundo alcanzan millones reuters,Frase/Pensamiento
696,6257,@EdyNightmare Cuando le arrancaron la tercera uña confesó. Viendo los ojos vidriosos de su torturador supo que la información era lo de menos.,edynightmare arrancaron tercera uña confesó viendo ojos vidriosos torturador supo información menos,Microficción
697,7543,"- Entonces, ¿Por ser el hijo del secretario no va a hacer nada?
- Señorita, comprenda...
Otra violación más quedó impune.",entonces ser hijo secretario va hacer señorita comprenda violación quedó impune,Microficción
698,1908,Es de valientes sonreír cuando uno está hecho pedazos por dentro.,sistema eléctrico congestionado requiere inversiones mil mdp cce,Frase/Pensamiento
699,6350,"@herrera_fk @megustaescribir @RMonociclo @vivilumo @LinaOM2205 @MelMeliMeluzka @atlantisrach @JJ_Kastle @CajonRelatos @365Microcuentos @quementari @M_Floser @DavidYanes79 @_Obscuros @ventanainfinita Sacaba sin prisa su sonrisa, sabía cuando usarla para trastornar a los machos y lograr sus caprichos. No miraba atrás por timar a brutos misóginos, lo vivía como justicia social.",herrera_fk megustaescribir rmonociclo vivilumo linaom2205 melmelimeluzka atlantisrach jj_kastle cajonrelatos 365microcuentos quementari m_floser davidyanes79 _obscuros ventanainfinita sacaba prisa sonrisa sabía usarla trastornar machos lograr caprichos miraba atrás timar brutos misóginos vivía justicia social,Microficción
700,4511,"#AristeguiEnVivo | Hemos contactado a Jorge Bravo, Presidente de la Amedi, para hablar sobre la reforma administrativa que incluye a los órganos autónomos https://t.co/bsBhVgyWgO https://t.co/m2Ex43bI26",sólo necesito abrazo sólo,Noticia
701,3632,"Exhibirán en Museo de Londres el globo de 'Trump bebé' | Fotos
https://t.co/TbbXk44iBs https://t.co/0a68dDBoIr",amigos levantan demás enterado caído,Noticia
702,1231,"""En la vida todo llega, todo pasa y todo cambia.""",afectaciones unidades médicas imss tras apagón,Frase/Pensamiento
703,1568,"""Todo llega cuando tiene que llegar.""",autoridades culturales comprometen difundir historia través grupos marginados,Frase/Pensamiento
704,1893,"En la vida no perdemos amigos, solo descubrimos quiénes valen la pena.",organizaciones exigen gobierno mexicano garantizar derechos humanos migrantes nueva caravana,Frase/Pensamiento
705,305,"Los errores, se asumen. Las experiencias, se viven. Las criticas, se ignoran. La vida, se disfruta. Sépanlo.",vuelca camioneta cdmx kilos polvo blanco compartimento secreto,Frase/Pensamiento
706,6121,"@escuelacursiva Maneja su tabla de surf, sorteando olas emocionales, torbellinos de frustración y corrientes de resentimientos. #juevesconcuento",escuelacursiva maneja tabla surf sorteando olas emocionales torbellinos frustración corrientes resentimientos juevesconcuento,Microficción
707,4045,Países pobres necesitan más dinero para adaptarse al cambio climático: ONU https://t.co/yF6mc9HA8k https://t.co/NaO6CxVq9x,enojo dura minutos después extraño,Noticia
708,7041,"-¡Vaya colección de corazones rotos! dijo su pupila.
-Toma este.",vaya colección corazones rotos dijo pupila toma,Microficción
709,6440,"El lunes era el último día para elegir si continuábamos la relación.Decidí un martes, cuando vi sus cajones vacíos. Siempre tarde #martesmge",lunes último día elegir si continuábamos relacióndecidí martes vi cajones vacíos siempre tarde martesmge,Microficción
710,167,"Con ganas de escucharte.
Con ganas de verte.
Con ganas de quererte.
Con ganas de tomarte de la mano.
Con ganas de ti.",lópezgatell ejemplar mundo funcionario afirma amlo,Frase/Pensamiento
711,782,"""Tropezar no es malo, encariñarse con la piedra sí.""",hablará amlo putin suministro vacuna sputnik v,Frase/Pensamiento
712,5214,Un limpiador obsesionado con dejar impoluto el panel de control de bombas nucleares negó a la humanidad un nuevo amanecer,limpiador obsesionado dejar impoluto panel control bombas nucleares negó humanidad nuevo amanecer,Microficción
713,7663,La llama del mechero iluminó la estancia llena de muñecos y murió de un infarto. Su archienemigo había descubierto su terror a los payasos,llama mechero iluminó estancia llena muñecos murió infarto archienemigo descubierto terror payasos,Microficción
714,6779,Aquel martes en la piscina la fiesta se nos fue de las manos. Sigo sin recordar cómo acabó dentro un elefante.,aquel martes piscina fiesta manos sigo recordar cómo acabó dentro elefante,Microficción
715,3210,Periodista identifica al manifestante con cuernos que participó en toma del Capitolio https://t.co/mSlPp3Igiw https://t.co/88M9WPcNLn,vida aprender cosas rogarle nadie confiar nadie esperar nadie,Noticia
716,5832,Te desperté un martes con besos y caricias. Tú abriste un ojo y me arañaste. Luego te quejas porque no te compro #Whiskas.,desperté martes besos caricias abriste ojo arañaste luego quejas compro whiskas,Microficción
717,2851,Vacuna de Pfizer parece efectiva contra una mutación en variantes del virus https://t.co/bOE5eKqlcB https://t.co/gynd5yEWb3,dicen cambiaste solo ahora tratas realidad merecen,Noticia
718,7570,Recorrió el país de norte a sur. Para cuando le capturaron ya había dejado tras de sí 49 cadáveres en la carretera.,recorrió país norte sur capturaron dejado tras cadáveres carretera,Microficción
719,2482,"Biden propone a la doctora transgénero Rachel Levine como subsecretaria de Salud
https://t.co/5ignhS0YiY https://t.co/wXkVDX0YTR",diagnóstico claro puede reformar ift labardini,Noticia
720,5868,"Resbaló la lengua por sus labios mientras el jovencito miraba. Fue culpa de la vaca, se quejó cuando le acusaron de zoofilia.
#monoficción",resbaló lengua labios mientras jovencito miraba culpa vaca quejó acusaron zoofilia monoficción,Microficción
721,7138,"@herrera_fk @megustaescribir @RMonociclo @vivilumo @LinaOM2205 @MelMeliMeluzka @atlantisrach @JJ_Kastle @CajonRelatos @365Microcuentos @quementari @M_Floser @DavidYanes79 @_Obscuros @ventanainfinita Sin corazón, sustraído por amor, optó por no hablar más con la dama, soñando con olvidarla para no sufrir más. Añoraba su voz, su risa, sus labios. Había sido apartado, amputado, y solo podía llorar por no lograr tornar al pasado.  @herrera_fk #cuentosin",herrera_fk megustaescribir rmonociclo vivilumo linaom2205 melmelimeluzka atlantisrach jj_kastle cajonrelatos 365microcuentos quementari m_floser davidyanes79 _obscuros ventanainfinita corazón sustraído amor optó hablar dama soñando olvidarla sufrir añoraba voz risa labios sido apartado amputado solo podía llorar lograr tornar pasado herrera_fk cuentosin,Microficción
722,3593,Pfizer está cumpliendo con todos los compromisos: AMLO https://t.co/q3LNxSgquE https://t.co/EACVzvymtK,celoso sufre ve sufre imagina,Noticia
723,956,Aquello que más miedo te da es aquello que más necesitas hacer.,dice gertz manero desconocer gestión méxico retirar cargos cienfuegos eu,Frase/Pensamiento
724,7165,"Me puse los zapatos un martes para darlos de sí antes del día de la boda pensando que me guiaban hacia mi destino. Caminé hasta el cansancio y me senté en un banco del parque a ver a la gente pasar, incluida a ti agarrada del brazo de mi mejor amigo.",puse zapatos martes darlos día boda pensando guiaban hacia destino caminé cansancio senté banco parque ver gente pasar incluida agarrada brazo mejor amigo,Microficción
725,3939,"Biden presenta plan para acelerar el lanzamiento de la vacuna Covid-19 en EU
https://t.co/n1FyrWZ7kF https://t.co/qF5vsgnx2R",gustas casualidad siempre sonría verte,Noticia
726,745,"""El dolor cambia a las personas.""",importante saber dónde viene dinero oculto alfredo castillo anabel hernández,Frase/Pensamiento
727,6634,El atardecer no tiene sentido si no voy a buscarte.,atardecer si voy buscarte,Microficción
728,1711,"Todos sabemos que el camino al éxito es a través del talento y el esfuerzo, lo que nos desvela es encontrar un atajo.",trump peligro institucional roberto izurieta,Frase/Pensamiento
729,3597,DEA debería hacer una investigación interna y aclarar qué pasó con caso Cienfuegos: AMLO https://t.co/uFD1oW3D5y https://t.co/yNMS5D5hoN,vida espejo si miras sonriendo sonreirá,Noticia
730,1582,Fallarte no está en mis planes.,argentina inicia vacunación coronavirus dosis rusas sputnik v,Frase/Pensamiento
731,4614,Gobierno británico enfrenta resistencia ante plan de exámenes masivos por Covid https://t.co/8KVtnS1I7b https://t.co/vGWsIIBBKB,mas fuerte ganas ser feliz,Noticia
732,2166,"Ríete, ódiame, habla mal de mi… Que después de todo, yo se que te revienta verme feliz.",mensaje oculto página web casa blanca biden busca programadores,Frase/Pensamiento
733,7545,- Gooool- gritó emocionado. Luis odiaba perder. Carlos lo supo cuando le ahorcó con el cable del mando de la Play Station.,gooool gritó emocionado luis odiaba perder carlos supo ahorcó cable mando play station,Microficción
734,3259,"Justicia británica rechaza solicitud de extradición de Assange a EU | #Video
https://t.co/bPtiyrSfM6 https://t.co/G4IPSycW7j",veces mejor desconectarse tiempo,Noticia
735,6140,"@megustaescribir Se rompió la cuerda un martes. El funambulista quedó suspendido en el aire unos segundos, entre los suspiros de agonía de la mujer barbuda y el hombre bala. Tras segundos de silencio, se levantó cubierto de arena, dándose cuenta de que era el hombre elástico. #martesmge",megustaescribir rompió cuerda martes funambulista quedó suspendido aire segundos suspiros agonía mujer barbuda hombre bala tras segundos silencio levantó cubierto arena dándose cuenta hombre elástico martesmge,Microficción
736,1690,"El hecho de que no diga ciertas cosas, no quiere decir que no las sienta.",titulares 4t fija reglas ip vacunas millones mexicanos,Frase/Pensamiento
737,1171,"""Dime, ¿te espero o te olvido?""",covid19 méxico mil muertes mil casos activos gráficas,Frase/Pensamiento
738,4475,"No te pierdas la segunda parte de la entrevista a Mike Vigil, Ex director de operaciones internacionales de la DEA, sobre el caso Cienfuegos mañana en nuestro programa de #AristeguiEnVivo en https://t.co/XcOTlFW0HJ https://t.co/EfswHykh7v",vale pena aferrarse hace daño vida continúa sólo ama ama valora valora,Noticia
739,5835,"-Pues para ser una tecnología obsoleta ese misil nuclear no se desvía ni un milímetro-afirmó el general desde el búnker.
#Monoficcion",pues ser tecnología obsoleta misil nuclear desvía milímetroafirmó general búnker monoficcion,Microficción
740,695,"""A veces hay que aceptar que no se puede estar con la persona que quisiéramos y seguir adelante."" -3MSC",año primera muerte covid cifra acerca hoy millones fotos,Frase/Pensamiento
741,4970,"-Un martes perdido en una isla.
-¿Esa es tu fantasía?
Asintió sin atreverse a decir que su fantasía era que ella le acompañara.",martes perdido isla fantasía asintió atreverse decir fantasía acompañara,Microficción
742,1745,"No te enamores de los recuerdos, las cosas nunca serán iguales.",inauguration day aquí programa ceremonia investidura joe biden,Frase/Pensamiento
743,5194,"@MaruBV13 Anoche soñé que volvía a Manderley, que la casa resurgía de sus cenizas y volvía a ser la de antes. Lo primero que hice fue asegurarme que la habitación secreta del sótano seguía allí para encerrar mi angustia, personificada en la señora Danvers.
#retoAdagio",marubv13 anoche soñé volvía manderley casa resurgía cenizas volvía ser primero hice asegurarme habitación secreta sótano seguía allí encerrar angustia personificada señora danvers retoadagio,Microficción
744,6955,Le miraban raro porque tenía un estante de libros en lugar de tele. Él los miraba raro porque solo vivirían una vida. #monoficción,miraban raro estante libros lugar tele miraba raro solo vivirían vida monoficción,Microficción
745,3511,Trump se niega a asumir responsabilidad de los disturbios en el Capitolio https://t.co/rRgGcqgEdE https://t.co/XrdZEYKq6u,tiempo da opciones tomas decisiones,Noticia
746,173,"Prohibido rendirse, respira hondo y sigue.",hospital jojutla sido informado resultó ganador rifa avión presidencial,Frase/Pensamiento
747,6479,"Nunca le reclamó la esmeralda prometida, sus ojos brillaban más. #CuentosDe10",nunca reclamó esmeralda prometida ojos brillaban cuentosde10,Microficción
748,1654,"""Para días grises, paraguas de colores.""",controla televisa televisión restringida concreta venta univision,Frase/Pensamiento
749,7145,"""¡Cuidado con el esquizofrénico!"", ¿verdad? Pues bien que os gusta cuando escribo mis locuras.",cuidado esquizofrénico verdad pues bien gusta escribo locuras,Microficción
750,3909,¿Es posible destituir a Trump antes de que acabe su mandato el 20 de enero? https://t.co/uxQT2p1zO7 https://t.co/XWUNrbCwvP,importante vida soñar sino cumplir sueños,Noticia
751,6973,"La gata miraba atentamente el rincón vacío de la habitación en el que te vio apoyada por última vez, sonriendo, oculta en las sombras mientras esperabas ansiosa a que llegara para matarme. ¿Sería sororidad o melancolía? #Apartirde10palabras",gata miraba atentamente rincón vacío habitación vio apoyada última vez sonriendo oculta sombras mientras esperabas ansiosa llegara matarme sororidad melancolía apartirde10palabras,Microficción
752,4944,"-¿En serio te crees que por jugar a un vídeojuego vas a suicidarte? Le escribió por Whatsapp.
Tras unos minutos de silencio, volvió a escribir.
-¿Martín? ¿Estás bien?
-¿Martín?
#PanicoSiniestro",serio crees jugar vídeojuego vas suicidarte escribió whatsapp tras minutos silencio volvió escribir martín bien martín panicosiniestro,Microficción
753,1818,"""Una persona positiva convierte sus problemas en retos, nunca en obstáculos.""",cursos actividades celebran día internacional educación,Frase/Pensamiento
754,5187,"De niños, cada tarde tocaban el timbre de don Martín y corrían. Aquel viejo malhumorado lo echó de menos cuando crecieron. #Monoficción",niños cada tarde tocaban timbre don martín corrían aquel viejo malhumorado echó menos crecieron monoficción,Microficción
755,5554,"@escuelacursiva Sus ojos eran como los volcanes de Islandia, hermosos y peligrosos, sus susurros Géiseres. #juevesconcuento",escuelacursiva ojos volcanes islandia hermosos peligrosos susurros géiseres juevesconcuento,Microficción
756,1322,"""Mirando a la nada, pensando en todo.""",invalida scjn ley comunicación social veracruz violaciones proceso legislativo,Frase/Pensamiento
757,2279,Tres cárteles están ya tratando de patrocinar candidatos para 2021: Anabel Hernández https://t.co/k0lJrLvePc https://t.co/F2YnvtQfyg,primerasplanas democracia prevalecido biden,Noticia
758,2143,"No vale la pena vivir sin ti, pero tampoco vale morir si no es contigo.",últimas fotos trump presidente eu,Frase/Pensamiento
759,6932,"-Si te arrepientes el Señor te perdonará.
Cinco años después, en el infierno, constató que no era verdad.",si arrepientes señor perdonará cinco años después infierno constató verdad,Microficción
760,2700,Secretaría del Bienestar contacta vía telefónica a adultos mayores para informar sobre vacunación https://t.co/KpeCGwxdgL https://t.co/9rQuZjuQPl,consejo dejeeeeeeen irrrrrrrrr sufran lloren bla bla después llegan tantas cosas buenas dicen mal felices dedíquense ustedes amor propio muuuuucho amor propio,Noticia
761,5073,"@jardindebonsais Siempre trato de no confundir el pasado y el presente, pero veo tu sonrisa y la frontera se diluye. Aprieto los puños y acepto tu deseo, que para mí estás muerta, permanezco ausente. Al menos tengo a tu sombra que se acurruca conmigo cada noche para entretejerse con mis sueños.",jardindebonsais siempre trato confundir pasado presente veo sonrisa frontera diluye aprieto puños acepto deseo muerta permanezco ausente menos sombra acurruca conmigo cada noche entretejerse sueños,Microficción
762,2602,Que el TEPJF decida si puedo hablar de la elección: AMLO https://t.co/PEIy2XSFvS https://t.co/RkIrDIs58S,nba hará lakers homenaje primer aniversario luctuoso kobe bryant,Noticia
763,7624,"@quementari @365Microcuentos @CajonRelatos @JJ_Kastle @historiasmini @ventanainfinita @megustaescribir @RMonociclo @_Obscuros @StevieVelvetDog, perdón",quementari 365microcuentos cajonrelatos jj_kastle historiasmini ventanainfinita megustaescribir rmonociclo _obscuros stevievelvetdog perdón,Microficción
764,1702,"Conoceré a alguien que me quiera con toda su alma, los trescientos sesenta y cinco días del año.",aristeguienvivo tras realizar mil encuestas países encontró cada personas pretenden vacunarse méxico temor efectos adversos hablar sondeo hablamos laura ruvalcaba pdta brain,Frase/Pensamiento
765,2992,Presenta AMLO recurso de inconformidad ante el TEPJF por 'censura abierta y descarada' a la mañanera https://t.co/Obx46oTw20 https://t.co/IMpJ0KcPRm,dejes escapar personas hacen bonito mundo,Noticia
766,2535,"Salida de Trump, gran respiro para la humanidad: Rodríguez Sumano https://t.co/0eWQvlScyW https://t.co/5tmQ57iRN2",ofrece alan mozo disculpa club compañeros afición video,Noticia
767,5631,"Me sentía bastante escéptico pero decidí hacer caso. No entendía cómo podría devolverme la vitalidad esa masajista, ni siquiera me dolía la espalda, hasta que llegó el final feliz. De verdad llegué a pensar que estaba muerto, pero aquello solo supuso un principio. #mismofinal",sentía bastante escéptico decidí hacer caso entendía cómo podría devolverme vitalidad masajista siquiera dolía espalda llegó final feliz verdad llegué pensar muerto aquello solo supuso principio mismofinal,Microficción
768,1817,"""Te observan, te critican, te envidian y al final te imitan.""",moodys ve posible recuperar corto plazo empleos perdidos pandemia,Frase/Pensamiento
769,3747,"Lo que sucedió ayer fue vergonzoso en términos internacionales. Como dijo Biden: ""son actos de insurrección"". La democracia estadounidense quedará fortalecida luego de que ambos partidos se unieron para condenar estos actos: @robertoaizuriet 👉 https://t.co/yzwCVxcPnW https://t.co/fDoPzv2Z1m",quizá amor quizá solo necesidad sentir diferente marcara vida momento,Noticia
770,7231,@isa_arredondop Creo que apenas nos conocemos como para que me hagas esas propuestas... 🙄,isa_arredondop creo apenas conocemos hagas propuestas,Microficción
771,4098,Se cumple plazo que dio Pelosi a Pence para invocar enmienda contra Trump: Esquivel https://t.co/2D9UcH7A18 https://t.co/lzOqWSNgw3,sonríe segundo mejor puedes hacer labios,Noticia
772,114,Elimina de tu vida todo aquello que te cause estrés y te quite la sonrisa.,piden pence considerar destitución trump presidencia eu,Frase/Pensamiento
773,7253,"-Solo fue un beso- se defendió.
Entonces supo que, pobre diablo, no sabía de amor.
#Juevesconcuento",solo beso defendió entonces supo pobre diablo sabía amor juevesconcuento,Microficción
774,4185,"#AristeguiEnVivo | El 2020 ha sido el año de la ciencia. Hubo desarrollos en otros ámbitos del conocimiento científico y tecnológico. Para hacer el recuento de los eventos más  importantes, estamos en directo con Julio García, periodista de ciencia https://t.co/qkuRMxaUWz https://t.co/MWvK3Rikwb",va costar va ser difícil va tomar tiempo va doler va valer,Noticia
775,903,"""Un Príncipe no es aquel que tiene un palacio y mucha fortuna, sino aquel que te respeta, te protege y te quiere.""",biden dice congreso debe decidir hacer juicio político trump,Frase/Pensamiento
776,2409,Ya es tiempo de que se ventile información sobre caso Lozoya: AMLO https://t.co/2X35smdVay https://t.co/AKYtrpQhPM,anuncia fórmula ajustes calendario debido pandemia covid19,Noticia
777,7578,"Desenterró una caja que tenía escrita en la tapa una fecha: 27/04/1956. Dentro solo había una nota que rezaba: ""Los políticos siguen siendo corruptos, ¿verdad? Sigue creyendo en ellos"" #monoficción",desenterró caja escrita tapa fecha dentro solo nota rezaba políticos siguen siendo corruptos verdad sigue creyendo monoficción,Microficción
778,4723,Santos de Brasil golea 3-0 a Boca Juniors y jugará contra Palmeiras la Final de la Copa Libertadores https://t.co/9pkdqS6POh https://t.co/HqqbHTjo3Q,felicidad mental actitud depende solamente,Noticia
779,3546,"La FGE-Guerrero informó que revisa la carpeta de investigación en contra del precandidato de Morena a la gubernatura, Félix Salgado Macedonio, para determinar si la acusación por el delito de violación es procedente https://t.co/DlrxBTqG39 https://t.co/uusp5ylELU",responsable digo entiendes bob marley,Noticia
780,5613,"Un martes me subí al avión, huyendo de un país en bancarrota, cargado de sueños y una promesa. Ahora me niego a cumplirla, no volveré, ahora este es mi hogar. #martesmge",martes subí avión huyendo país bancarrota cargado sueños promesa ahora niego cumplirla volveré ahora hogar martesmge,Microficción
781,6242,"Tras una ardua planeación, aprovechando el caos y el desorden causado por la alarma de incendios, el empleado se vengó de su jefe poniendo laxante en su café olvidado.
@Rmonociclo #Monoficción",tras ardua planeación aprovechando caos desorden causado alarma incendios empleado vengó jefe poniendo laxante café olvidado rmonociclo monoficción,Microficción
782,2653,"Identifican a excampeón olímpico entre asaltantes al Capitolio | #Video
https://t.co/B3PaMPJwaj https://t.co/RpSIjLA8q2",quisiera meter mamá cajita cristal nunca pase,Noticia
783,3148,"Ya se ha anunciado que EE.UU. se compromete a alcanzar cero emisiones para mediados de siglo y entregar una serie de compromisos para el 2030. Hay mucho entusiasmo, pero también implicaciones para México: Adrián Fernández, Dir. de @iniciativaclima  👉 https://t.co/PLXgHBIiPs https://t.co/DW4OXrIJIO",cosas mejores personas mejores tiempos mejores,Noticia
784,7147,"AMOR DIGITAL
Le bloqueó. Estaba cansada de obligarse a escribir de él, de su amor imposible, y ya necesitaba liberarse de esa pantomima.",amor digital bloqueó cansada obligarse escribir amor imposible necesitaba liberarse pantomima,Microficción
785,1422,"Quédate con quien te dedique canciones, te mande mensajes por la noche, te diga que te quiere y se trague su orgullo, vale la pena.",juez texas bloquea freno deportaciones revés legal agenda migratoria biden,Frase/Pensamiento
786,6854,Los olores que emanaba le recordaba a su primer amor. No puedo evitar arrodillarse frente a ella para que tropezara y cayera por las escaleras. #retoseptiembre30,olores emanaba recordaba primer amor puedo evitar arrodillarse frente tropezara cayera escaleras retoseptiembre30,Microficción
787,1386,"""Tarde o temprano la verdad se sabe.""",aristeguienvivo asunto abierto ejercicio acción penal primera acción proceso combatible organizaciones quieran pruebas pueden ir ministerio público,Frase/Pensamiento
788,5075,"El profesor fue claro. El examen no podía tener errores pero no dijo nada de aciertos así que mejor lo dejó en blanco.
#monoficción",profesor claro examen podía tener errores dijo aciertos así mejor dejó blanco monoficción,Microficción
789,3050,Portavoz demócrata llama a retirar inmediatamente a Trump del poder; va a terminar su mandato: Rubin https://t.co/Jpi5YMxSx2 https://t.co/542KxdIH5m,mayor decepción aquella viene alguien creías diferente,Noticia
